geotiff_path,folder,name,id_sample,date,tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F028_V003/V1KRNP____19990910F028_V003.tif,V1KRNP____19990910F028_V003,V1KRNP____19990910F028_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F028_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F028_V003/V1KRNP____19990910F028_V003_cloud_mask.tif,V1KRNP____19990910F028_V003,V1KRNP____19990910F028_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F028_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F023_V003/V1KRNP____19990910F023_V003.tif,V1KRNP____19990910F023_V003,V1KRNP____19990910F023_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F023_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F023_V003/V1KRNP____19990910F023_V003_cloud_mask.tif,V1KRNP____19990910F023_V003,V1KRNP____19990910F023_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F023_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F023_V003/V1KRNP____19990910F023_V003_initial_mask.tif,V1KRNP____19990910F023_V003,V1KRNP____19990910F023_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F023_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F023_V003/V1KRNP____19990910F023_V003_cloud_mask_cnn.tif,V1KRNP____19990910F023_V003,V1KRNP____19990910F023_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F023_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F020_V003/V1KRNP____19990910F020_V003.tif,V1KRNP____19990910F020_V003,V1KRNP____19990910F020_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F020_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F020_V003/V1KRNP____19990910F020_V003_initial_mask.tif,V1KRNP____19990910F020_V003,V1KRNP____19990910F020_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F020_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F020_V003/V1KRNP____19990910F020_V003_cloud_mask.tif,V1KRNP____19990910F020_V003,V1KRNP____19990910F020_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F020_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F020_V003/V1KRNP____19990910F020_V003_cloud_mask_cnn.tif,V1KRNP____19990910F020_V003,V1KRNP____19990910F020_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F020_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F032_V003/V1KRNP____19990910F032_V003.tif,V1KRNP____19990910F032_V003,V1KRNP____19990910F032_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F032_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F032_V003/V1KRNP____19990910F032_V003_initial_mask.tif,V1KRNP____19990910F032_V003,V1KRNP____19990910F032_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F032_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F032_V003/V1KRNP____19990910F032_V003_cloud_mask.tif,V1KRNP____19990910F032_V003,V1KRNP____19990910F032_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F032_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F032_V003/V1KRNP____19990910F032_V003_cloud_mask_cnn.tif,V1KRNP____19990910F032_V003,V1KRNP____19990910F032_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F032_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F036_V003/V1KRNP____19990910F036_V003_initial_mask.tif,V1KRNP____19990910F036_V003,V1KRNP____19990910F036_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F036_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F036_V003/V1KRNP____19990910F036_V003_cloud_mask.tif,V1KRNP____19990910F036_V003,V1KRNP____19990910F036_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F036_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F036_V003/V1KRNP____19990910F036_V003_cloud_mask_cnn.tif,V1KRNP____19990910F036_V003,V1KRNP____19990910F036_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F036_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F036_V003/V1KRNP____19990910F036_V003.tif,V1KRNP____19990910F036_V003,V1KRNP____19990910F036_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F036_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F031_V003/V1KRNP____19990910F031_V003_cloud_mask.tif,V1KRNP____19990910F031_V003,V1KRNP____19990910F031_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F031_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F031_V003/V1KRNP____19990910F031_V003.tif,V1KRNP____19990910F031_V003,V1KRNP____19990910F031_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F031_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F031_V003/V1KRNP____19990910F031_V003_cloud_mask_cnn.tif,V1KRNP____19990910F031_V003,V1KRNP____19990910F031_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F031_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F031_V003/V1KRNP____19990910F031_V003_initial_mask.tif,V1KRNP____19990910F031_V003,V1KRNP____19990910F031_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F031_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F037_V003/V1KRNP____19990910F037_V003.tif,V1KRNP____19990910F037_V003,V1KRNP____19990910F037_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F037_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F037_V003/V1KRNP____19990910F037_V003_cloud_mask.tif,V1KRNP____19990910F037_V003,V1KRNP____19990910F037_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F037_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F037_V003/V1KRNP____19990910F037_V003_initial_mask.tif,V1KRNP____19990910F037_V003,V1KRNP____19990910F037_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F037_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F037_V003/V1KRNP____19990910F037_V003_cloud_mask_cnn.tif,V1KRNP____19990910F037_V003,V1KRNP____19990910F037_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F037_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F041_V003/V1KRNP____19990910F041_V003_cloud_mask_cnn.tif,V1KRNP____19990910F041_V003,V1KRNP____19990910F041_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F041_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F041_V003/V1KRNP____19990910F041_V003_cloud_mask.tif,V1KRNP____19990910F041_V003,V1KRNP____19990910F041_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F041_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F041_V003/V1KRNP____19990910F041_V003_initial_mask.tif,V1KRNP____19990910F041_V003,V1KRNP____19990910F041_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F041_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F041_V003/V1KRNP____19990910F041_V003.tif,V1KRNP____19990910F041_V003,V1KRNP____19990910F041_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F041_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F030_V003/V1KRNP____19990910F030_V003_cloud_mask_cnn.tif,V1KRNP____19990910F030_V003,V1KRNP____19990910F030_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F030_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F030_V003/V1KRNP____19990910F030_V003.tif,V1KRNP____19990910F030_V003,V1KRNP____19990910F030_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F030_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F030_V003/V1KRNP____19990910F030_V003_initial_mask.tif,V1KRNP____19990910F030_V003,V1KRNP____19990910F030_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F030_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F030_V003/V1KRNP____19990910F030_V003_cloud_mask.tif,V1KRNP____19990910F030_V003,V1KRNP____19990910F030_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F030_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F016_V003/V1KRNP____19990910F016_V003_cloud_mask.tif,V1KRNP____19990910F016_V003,V1KRNP____19990910F016_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F016_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F016_V003/V1KRNP____19990910F016_V003_initial_mask.tif,V1KRNP____19990910F016_V003,V1KRNP____19990910F016_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F016_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F016_V003/V1KRNP____19990910F016_V003.tif,V1KRNP____19990910F016_V003,V1KRNP____19990910F016_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F016_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F016_V003/V1KRNP____19990910F016_V003_cloud_mask_cnn.tif,V1KRNP____19990910F016_V003,V1KRNP____19990910F016_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F016_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F038_V003/V1KRNP____19990910F038_V003_cloud_mask.tif,V1KRNP____19990910F038_V003,V1KRNP____19990910F038_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F038_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F038_V003/V1KRNP____19990910F038_V003_cloud_mask_cnn.tif,V1KRNP____19990910F038_V003,V1KRNP____19990910F038_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F038_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F038_V003/V1KRNP____19990910F038_V003_initial_mask.tif,V1KRNP____19990910F038_V003,V1KRNP____19990910F038_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F038_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F038_V003/V1KRNP____19990910F038_V003.tif,V1KRNP____19990910F038_V003,V1KRNP____19990910F038_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F038_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F015_V003/V1KRNP____19990910F015_V003.tif,V1KRNP____19990910F015_V003,V1KRNP____19990910F015_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F015_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F015_V003/V1KRNP____19990910F015_V003_initial_mask.tif,V1KRNP____19990910F015_V003,V1KRNP____19990910F015_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F015_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F015_V003/V1KRNP____19990910F015_V003_cloud_mask.tif,V1KRNP____19990910F015_V003,V1KRNP____19990910F015_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F015_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F015_V003/V1KRNP____19990910F015_V003_cloud_mask_cnn.tif,V1KRNP____19990910F015_V003,V1KRNP____19990910F015_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F015_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F019_V003/V1KRNP____19990910F019_V003_cloud_mask.tif,V1KRNP____19990910F019_V003,V1KRNP____19990910F019_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F019_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F019_V003/V1KRNP____19990910F019_V003_cloud_mask_cnn.tif,V1KRNP____19990910F019_V003,V1KRNP____19990910F019_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F019_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F019_V003/V1KRNP____19990910F019_V003_initial_mask.tif,V1KRNP____19990910F019_V003,V1KRNP____19990910F019_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F019_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F019_V003/V1KRNP____19990910F019_V003.tif,V1KRNP____19990910F019_V003,V1KRNP____19990910F019_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F019_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F027_V003/V1KRNP____19990910F027_V003.tif,V1KRNP____19990910F027_V003,V1KRNP____19990910F027_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F027_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F027_V003/V1KRNP____19990910F027_V003_initial_mask.tif,V1KRNP____19990910F027_V003,V1KRNP____19990910F027_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F027_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F027_V003/V1KRNP____19990910F027_V003_cloud_mask_cnn.tif,V1KRNP____19990910F027_V003,V1KRNP____19990910F027_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F027_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F027_V003/V1KRNP____19990910F027_V003_cloud_mask.tif,V1KRNP____19990910F027_V003,V1KRNP____19990910F027_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F027_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F033_V003/V1KRNP____19990910F033_V003_cloud_mask_cnn.tif,V1KRNP____19990910F033_V003,V1KRNP____19990910F033_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F033_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F033_V003/V1KRNP____19990910F033_V003_cloud_mask.tif,V1KRNP____19990910F033_V003,V1KRNP____19990910F033_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F033_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F033_V003/V1KRNP____19990910F033_V003.tif,V1KRNP____19990910F033_V003,V1KRNP____19990910F033_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F033_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F033_V003/V1KRNP____19990910F033_V003_initial_mask.tif,V1KRNP____19990910F033_V003,V1KRNP____19990910F033_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F033_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F018_V003/V1KRNP____19990910F018_V003_initial_mask.tif,V1KRNP____19990910F018_V003,V1KRNP____19990910F018_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F018_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F018_V003/V1KRNP____19990910F018_V003_cloud_mask.tif,V1KRNP____19990910F018_V003,V1KRNP____19990910F018_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F018_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F018_V003/V1KRNP____19990910F018_V003_cloud_mask_cnn.tif,V1KRNP____19990910F018_V003,V1KRNP____19990910F018_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F018_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F018_V003/V1KRNP____19990910F018_V003.tif,V1KRNP____19990910F018_V003,V1KRNP____19990910F018_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F018_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_11/V1KRNP____19990911F067_V003/V1KRNP____19990911F067_V003_cloud_mask.tif,V1KRNP____19990911F067_V003,V1KRNP____19990911F067_V003_cloud_mask,cloud_mask,1999-09-11,/data/databases/Julio/spot/tortillas/V1KRNP____19990911F067_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_11/V1KRNP____19990911F067_V003/V1KRNP____19990911F067_V003_cloud_mask_cnn.tif,V1KRNP____19990911F067_V003,V1KRNP____19990911F067_V003_cloud_mask_cnn,mask_cnn,1999-09-11,/data/databases/Julio/spot/tortillas/V1KRNP____19990911F067_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_11/V1KRNP____19990911F067_V003/V1KRNP____19990911F067_V003.tif,V1KRNP____19990911F067_V003,V1KRNP____19990911F067_V003,image,1999-09-11,/data/databases/Julio/spot/tortillas/V1KRNP____19990911F067_V003.tortilla
